Speed; Fr1.x; Fr1.y; Fr1.z; PitchVel; RollVel; TF.muRoad; TF.vBelt; TR.Frc.x; TR.Frc.y; TR.Frc.z; TR.muRoad; TR.vBelt; YawAcc; YawVel; Engine.Trq; Engine.rotv; Time
27,77737617; 0,01173009; -0,43364778; -0,00206841; -0,00000550; -0,00000289; 1,00000000; 27,76941299; -2,31979561; -0,07102971; 1906,84326200; 1,00000000; 27,77401733; 0,00040525; 0,00000081; 237,65669250; 109,41762540; 0,00100000
27,77169991; 0,01819136; -0,73117042; 0,16230538; 0,00204637; -0,00001542; 1,00000000; 27,76007271; -39,87400055; -0,05460131; 1903,10827600; 1,00000000; 27,75992203; 0,00030628; 0,00000440; 232,50927730; 107,50689700; 0,01100000
27,76559830; 0,01755657; -0,72548270; 0,15424207; 0,00391219; -0,00002348; 1,00000000; 27,75077629; -35,65578079; -0,03351825; 1899,57312000; 1,00000000; 27,75348473; 0,00015877; 0,00000666; -0,20216233; 116,96567540; 0,02100000
27,75945854; 0,01670280; -0,70330942; 0,11867204; 0,00547373; -0,00002848; 1,00000000; 27,74339867; -37,07781601; -0,01720961; 1897,53918500; 1,00000000; 27,74714851; 0,00002312; 0,00000747; -0,44431537; 117,39290620; 0,03100000
27,75334358; 0,01566245; -0,66775149; 0,07371322; 0,00659969; -0,00003179; 1,00000000; 27,73652077; -36,80772018; -0,00568709; 1895,71814000; 1,00000000; 27,74103737; -0,00007429; 0,00000714; -0,70467752; 118,10140230; 0,04100000
27,74727821; 0,01473437; -0,63378775; 0,03084088; 0,00726421; -0,00003403; 1,00000000; 27,72988319; -36,85884094; 0,00220231; 1894,04467800; 1,00000000; 27,73491287; -0,00013148; 0,00000605; -0,79944897; 118,17039490; 0,05100000
27,74124908; 0,01392294; -0,60247648; -0,00837584; 0,00747945; -0,00003553; 1,00000000; 27,72352028; -36,92795181; 0,00724855; 1892,56054700; 1,00000000; 27,72886658; -0,00015894; 0,00000457; -0,79677182; 118,12645720; 0,06100000
27,73524666; 0,01325405; -0,57520384; -0,04237005; 0,00728124; -0,00003665; 1,00000000; 27,71750259; -37,02973557; 0,01007596; 1891,33374000; 1,00000000; 27,72292328; -0,00017071; 0,00000291; -0,79372185; 118,07639310; 0,07100000
27,72925949; 0,01273443; -0,55262619; -0,07009593; 0,00672462; -0,00003779; 1,00000000; 27,71184921; -37,13267899; 0,01136735; 1890,41626000; 1,00000000; 27,71708870; -0,00017752; 0,00000117; -0,79067266; 118,02635190; 0,08100000
27,72328186; 0,01235962; -0,53512996; -0,09091956; 0,00587761; -0,00003931; 1,00000000; 27,70652580; -37,22400284; 0,01180405; 1889,83520500; 1,00000000; 27,71135521; -0,00018458; -0,00000064; -0,78763515; 117,97649380; 0,09100000
27,71731377; 0,01212155; -0,52289182; -0,10459416; 0,00481533; -0,00004144; 1,00000000; 27,70146370; -37,29692841; 0,01183240; 1889,59375000; 1,00000000; 27,70570183; -0,00019210; -0,00000253; -0,78460938; 117,92683410; 0,10100000
27,71134949; 0,01200960; -0,51589608; -0,11122096; 0,00361516; -0,00004428; 1,00000000; 27,69658089; -37,34886932; 0,01174524; 1889,67480500; 1,00000000; 27,70010185; -0,00019856; -0,00000448; -0,78159517; 117,87736510; 0,11100000
